asin,title,brand,price_inr,mrp_inr,rating,review_count,sponsored,badge,search_query
B0DFCCGKN7,Dove,Moisturizing,241.0,241.0,4.0,399.0,False,,dove men care body wash
B0BHTPYRPW,AXE,Moisturizing,119.0,47.0,4.0,387.0,False,,old spice body wash
B08Q47HXWF,NMFe Moisturising Body Wash 450 ml with Aloevera and Oat milk for Daily Bathing | for Regular or Daily Bathing | Restores skin moisture to maintain skin health and prevent dry skin | For Both Men and Women,Moisturizing,935.0,207.0,4.4,386.0,False,,old spice body wash
B0C9ZWKL4J,"Bacne Control Body Wash, 2% Salicylic Acid, 1% Niacinamide 300ml (Pack of 1), Relieves Body Acne, Exfoliates and Nourishes Skin, SLS & Paraben Free, For Men & Women",Moisturizing,429.0,143.0,4.4,386.0,False,,old spice body wash
B0CWKTLF9Y,Dove,Brightening/Fairness,261.0,104.0,4.3,386.0,False,,dove men care body wash
B07NJYBX1T,Old Spice,"Moisturizing,Revitalizes",999.0,249.0,4.6,382.0,False,,bombay shaving company body wash
B0C2HGXN9P,The Man Company,Hydrating,204.0,102.0,4.0,380.0,False,,ustraa body wash
B0FJ2JHL43,PROWL,Up to 5% back with Amazon Pay ICICI card,223.0,89.0,4.8,364.0,False,,bombay shaving company body wash
B01MT8N4RD,Dove,Cleansing,8452.0,608.0,4.7,353.0,False,,dove men care body wash
B0BT54YZ27,Dermafique,Moisturizing,486.0,97.0,4.3,348.0,False,Limited time deal,dove men care body wash
B08XQQ2TQY,THE LOVE CO.,Moisturizing,444.0,177.0,4.0,348.0,False,,ustraa body wash
B0CWV98FQN,Elovera,"Hydrating, Nourishing",598.0,239.0,4.5,347.0,False,,dove men care body wash
B0CX5BMNK6,Old Spice,Up to 5% back with Amazon Pay ICICI card,799.0,199.0,4.5,346.0,False,,bombay shaving company body wash
B0CQD1TVXH,Palmolive,Up to 5% back with Amazon Pay ICICI card,155.0,62.0,4.4,345.0,False,,old spice body wash
B0CSKCMFCV,Fiama,"Cleansing, Glow",300.0,21.0,4.4,334.0,False,,fiama men body wash
B0CKX5GSQM,Arata,Moisturizing,,,4.0,331.0,False,,nivea men body wash
B0F9YT9JML,BELLAVITA,Up to 5% back with Amazon Pay ICICI card,179.0,89.0,3.9,329.0,False,,ustraa body wash
B0BHTSVD56,AXE,"Moisturizing,Nourishing",119.0,47.0,4.1,326.0,False,,old spice body wash
B0BKPT6CVD,The Man Company,Brightening,204.0,102.0,4.0,318.0,False,,bombay shaving company body wash
B0GQTCMPYM,HIVADO,Up to 5% back with Amazon Pay ICICI card,495.0,198.0,4.3,300.0,False,,ustraa body wash
B0DG5FRBH7,BEARDO,Save extra with Cashback,599.0,249.0,4.3,299.0,False,,beardo body wash
B0BZWB4FX8,THE LOVE CO.,Brightening,331.0,132.0,4.0,287.0,False,,old spice body wash
B0BHTT9XK6,AXE,Moisturizing,219.0,54.0,4.1,281.0,False,,nivea men body wash
B0DK5RDXYQ,Plum,2% off coupon appliedSave 2%with coupon,285.0,118.0,4.4,280.0,False,,bombay shaving company body wash
B0BDS8D3M3,BEARDO,Oil Control,364.0,121.0,4.2,278.0,False,Supersaver,bombay shaving company body wash
B08KQCV971,The Man Company,Oil Control,1199.0,599.0,3.8,276.0,False,,the man company body wash
B0B6CNGL9Q,Fiama,Up to 5% back with Amazon Pay ICICI card,259.0,51.0,4.4,273.0,False,Limited time deal,fiama men body wash
B0FH2LXKLS,mcaffeine,"Brightening, Tan Removal",380.0,126.0,4.4,272.0,False,,the man company body wash
B09KXTKDWF,"Mancode Hydro Body Wash For Men 450ml, 3 In 1 Active Body Wash For Body, Shower Gel For Men, Bodywash, Face And Hair With Refreshing Menthol And Natural Oils Extract",Soothing,199.0,44.0,4.0,271.0,False,,ustraa body wash
B0CKX3ML43,Arata,Moisturizing,,,4.1,262.0,False,,beardo body wash
B0CVMYWW9L,Dermafique,Up to 5% back with Amazon Pay ICICI card,445.0,89.0,4.4,251.0,False,,the man company body wash
B0D12SKXKW,Palmolive,Up to 5% back with Amazon Pay ICICI card,290.0,38.0,4.4,242.0,False,Supersaver,fiama men body wash
B0C3RDW3HC,Fiama,Soothing,,,4.4,241.0,False,,fiama men body wash
B004AI50PS,"Dove Men +Care Body & Face Wash, Clean Comfort, 13.5",Moisturizing,2377.0,621.0,4.6,226.0,False,,dove men care body wash
B0B1TV5R6R,The Man Company,Up to 5% back with Amazon Pay ICICI card,300.0,150.0,3.8,217.0,False,,bombay shaving company body wash
B0B7F3SJJ8,Vedic Valley,Brightening,537.0,162.0,4.0,214.0,False,Ends in,ustraa body wash
B08516N13C,Baylis & Harding,Up to 5% back with Amazon Pay ICICI card,612.0,122.0,4.6,213.0,False,,old spice body wash
B08F31QY79,NIVEA,Moisturizing,115.0,92.0,4.3,212.0,False,,old spice body wash
B0057X6ZW2,Dove,Hydrating,,,3.9,211.0,False,,dove men care body wash
B0BSLP23BC,St. D’vence Breezy Brew Body Wash Shower Gel for Women & Men with Coffee & Coconut | Paraben & SLS Free | Exfoliating & Moisturizing Body Wash for Dry Skin - 300 ml,Up to 5% back with Amazon Pay ICICI card,449.0,149.0,4.2,211.0,False,,ustraa body wash
B0BYDR21Z9,Fiama,Soothing,,,4.4,195.0,False,,fiama men body wash
B0C5M1D4ZY,WOW Skin Science,Smoothening,609.0,121.0,4.2,190.0,False,,bombay shaving company body wash
B0FL7SQ5S5,Palmolive,Up to 5% back with Amazon Pay ICICI card,396.0,52.0,4.5,184.0,False,,nivea men body wash
B0FKMCS5XS,Palmolive,Up to 5% back with Amazon Pay ICICI card,370.0,49.0,4.5,184.0,False,,dove men care body wash
B0FFH5MYLQ,ThriveCo,Exfoliating,199.0,84.0,4.0,173.0,False,,beardo body wash
B08JWNG4SB,Old Spice,Up to 5% back with Amazon Pay ICICI card,289.0,598.0,3.9,172.0,False,,old spice body wash
B0FLL7DBBB,BEARDO,Save extra with Cashback,649.0,1.0,4.3,171.0,False,,beardo body wash
B0CWNQSGYY,COS-IQ,Soothing,299.0,149.0,4.6,154.0,False,Limited time deal,bombay shaving company body wash
B0C2VQ1RB1,Just Herbs,ANTI ACNE,323.0,107.0,4.0,153.0,False,,fiama men body wash
B0DT3CKV9G,Dettol,Hydrating,100.0,40.0,4.2,152.0,False,,nivea men body wash
B0BHTT3RCB,AXE,"Moisturizing,Nourishing",162.0,40.0,4.2,151.0,False,,old spice body wash
